station_id,station_type,access_mode,port_name,equipment_id,address,slide_mm,cad_x,cad_y,cad_z,draw_x,draw_y
7858,DUAL_ACCESS,UNIVERSAL,4KTN3506_2,4KTN3506,1988,753,69014.509430595,-137326.69427599,0.0,9813.000027731003,537.3665090200084
7857,DUAL_ACCESS,UNIVERSAL,4KTN3506_3,4KTN3506,1988,241,69014.509430595,-137326.69427599,0.0,9813.000027731003,537.3665090200084
8035,DUAL_ACCESS,UNIVERSAL,4KTN3601_1,4KTN3601,1884,1775,68738.50933333334,-137819.74607861333,0.0,9536.999930469334,1030.418311643327
8034,DUAL_ACCESS,UNIVERSAL,4KTN3601_2,4KTN3601,1884,1266,68738.50933333334,-137819.74607861333,0.0,9536.999930469334,1030.418311643327
8033,DUAL_ACCESS,UNIVERSAL,4KTN3601_3,4KTN3601,1884,753,68738.50933333334,-137819.74607861333,0.0,9536.999930469334,1030.418311643327
13936,DUAL_ACCESS,UNIVERSAL,4KTS2601_1,4KTS2601,8393,1277,68035.64313160167,-140471.36074176,0.0,8834.133728737666,3682.032974789996
13935,DUAL_ACCESS,UNIVERSAL,4KTS2601_2,4KTS2601,8393,768,68035.64313160167,-140471.36074176,0.0,8834.133728737666,3682.032974789996
6047,DUAL_ACCESS,UNIVERSAL,4KTS2601_3,4KTS2601,8393,259,68035.64313160167,-140471.36074176,0.0,8834.133728737666,3682.032974789996
14069,DUAL_ACCESS,UNIVERSAL,4KTS2801_1,4KTS2801,8376,1429,68719.70978990333,-140471.36095676332,0.0,9518.200387039324,3682.033189793321
14067,DUAL_ACCESS,UNIVERSAL,4KTS2801_2,4KTS2801,8376,920,68719.70978990333,-140471.36095676332,0.0,9518.200387039324,3682.033189793321
14066,DUAL_ACCESS,UNIVERSAL,4KTS2801_3,4KTS2801,8376,411,68719.70978990333,-140471.36095676332,0.0,9518.200387039324,3682.033189793321
14056,DUAL_ACCESS,UNIVERSAL,4KTS2901_1,4KTS2901,8368,215,69002.40943457934,-140471.36046585668,0.0,9800.90003171534,3682.0326988866727
14055,DUAL_ACCESS,UNIVERSAL,4KTS2901_2,4KTS2901,8367,998,69045.40944248367,-140471.36046588665,0.0,9843.900039619664,3682.0326989166497
14054,DUAL_ACCESS,UNIVERSAL,4KTS2901_3,4KTS2901,8367,489,69045.40944248367,-140471.36046588665,0.0,9843.900039619664,3682.0326989166497
13803,DUAL_ACCESS,UNIVERSAL,4KTS3101_1,4KTS3101,8354,1511,69555.64313160167,-140471.36046585668,0.0,10354.133728737666,3682.0326988866727
13802,DUAL_ACCESS,UNIVERSAL,4KTS3101_2,4KTS3101,8354,1006,69555.64313160167,-140471.36046585668,0.0,10354.133728737666,3682.0326988866727
13801,DUAL_ACCESS,UNIVERSAL,4KTS3101_3,4KTS3101,8354,502,69555.64313160167,-140471.36046585668,0.0,10354.133728737666,3682.0326988866727
13806,DUAL_ACCESS,UNIVERSAL,4KTS3102_1,4KTS3102,8360,714,69339.07606621167,-140471.36046584666,0.0,10137.566663347665,3682.032698876661
13805,DUAL_ACCESS,UNIVERSAL,4KTS3102_2,4KTS3102,8360,206,69339.07606621167,-140471.36046584666,0.0,10137.566663347665,3682.032698876661
13804,DUAL_ACCESS,UNIVERSAL,4KTS3102_3,4KTS3102,8359,491,69365.40944248367,-140471.36046587335,0.0,10163.900039619664,3682.0326989033492
7212,DUAL_ACCESS,UNIVERSAL,4KTS3201_1,4KTS3201,5446,1106,69774.50933333334,-139173.96114350334,0.0,10572.999930469334,2384.63337653334
7211,DUAL_ACCESS,UNIVERSAL,4KTS3201_2,4KTS3201,5446,604,69774.50933333334,-139173.96114350334,0.0,10572.999930469334,2384.63337653334
7210,DUAL_ACCESS,UNIVERSAL,4KTS3201_3,4KTS3201,5445,1793,69774.50933333334,-139117.12781017,0.0,10572.999930469334,2327.800043199997
7216,DUAL_ACCESS,UNIVERSAL,4KTS3202_1,4KTS3202,5449,221,69774.50933333334,-139340.46114350334,0.0,10572.999930469334,2551.13337653334
7215,DUAL_ACCESS,UNIVERSAL,4KTS3202_2,4KTS3202,5448,1120,69774.50933333334,-139293.79447683666,0.0,10572.999930469334,2504.466709866654
7214,DUAL_ACCESS,UNIVERSAL,4KTS3202_3,4KTS3202,5448,612,69774.50933333334,-139293.79447683666,0.0,10572.999930469334,2504.466709866654
7220,DUAL_ACCESS,UNIVERSAL,4KTS3203_1,4KTS3203,5451,1043,69774.50944248399,-139450.3608997,0.0,10573.00003961999,2661.0331327299937
7219,DUAL_ACCESS,UNIVERSAL,4KTS3203_2,4KTS3203,5451,538,69774.50944248399,-139450.3608997,0.0,10573.00003961999,2661.0331327299937
7218,DUAL_ACCESS,UNIVERSAL,4KTS3203_3,4KTS3203,5450,925,69774.50933333334,-139420.62760930334,0.0,10572.999930469334,2631.299842333334
7407,DUAL_ACCESS,UNIVERSAL,4KTS3301_1,4KTS3301,2093,567,69838.509434579,-138580.86522063668,0.0,10637.000031714997,1791.5374536666786
7406,DUAL_ACCESS,UNIVERSAL,4KTS3301_2,4KTS3301,2092,957,69838.509434579,-138610.59851103,0.0,10637.000031714997,1821.2707440599916
7405,DUAL_ACCESS,UNIVERSAL,4KTS3301_3,4KTS3301,2092,452,69838.509434579,-138610.59851103,0.0,10637.000031714997,1821.2707440599916
7435,DUAL_ACCESS,UNIVERSAL,4KTS3302_1,4KTS3302,2107,923,69838.50933333334,-137872.09447685,0.0,10636.999930469334,1082.7667098800011
7434,DUAL_ACCESS,UNIVERSAL,4KTS3302_2,4KTS3302,2107,413,69838.50933333334,-137872.09447685,0.0,10636.999930469334,1082.7667098800011
7433,DUAL_ACCESS,UNIVERSAL,4KTS3302_3,4KTS3302,2106,2017,69838.50933333334,-137942.26145204,0.0,10636.999930469334,1152.933685069991
7611,DUAL_ACCESS,UNIVERSAL,4KTS3401_1,4KTS3401,2026,1180,69418.509434579,-138580.86522063668,0.0,10217.000031714997,1791.5374536666786
