index,seq_max,seq_last,future_max,down_amount,HUBROOMTOTAL,M16A_3F_STORAGE_UTIL,CD_M163FSTORAGEUTIL,M16A_3F_CMD
1964,387.0,243.0,260.0,127.0,880.0,199.0,17.0,183.0
1965,387.0,238.0,260.0,127.0,885.0,199.0,16.0,177.0
1966,387.0,238.0,260.0,127.0,878.0,199.0,15.0,169.0
1967,387.0,240.0,260.0,127.0,894.0,199.0,15.0,177.0
1968,387.0,238.0,260.0,127.0,895.0,199.0,15.0,171.0
1969,387.0,244.0,260.0,127.0,901.0,199.0,15.0,188.0
1970,387.0,254.0,260.0,127.0,892.0,200.0,15.0,201.0
1971,387.0,252.0,260.0,127.0,875.0,199.0,15.0,207.0
1972,387.0,260.0,256.0,131.0,879.0,199.0,15.0,213.0
1973,386.0,256.0,248.0,138.0,862.0,199.0,16.0,207.0
1974,386.0,248.0,238.0,148.0,849.0,199.0,16.0,193.0
1975,384.0,238.0,227.0,157.0,836.0,200.0,14.0,181.0
1976,379.0,216.0,227.0,152.0,810.0,201.0,14.0,162.0
1977,379.0,221.0,227.0,152.0,816.0,201.0,14.0,169.0
1978,379.0,223.0,227.0,152.0,828.0,201.0,14.0,183.0
1979,379.0,212.0,227.0,152.0,820.0,202.0,11.0,180.0
1980,379.0,216.0,227.0,152.0,811.0,203.0,11.0,184.0
1981,379.0,213.0,227.0,152.0,823.0,203.0,11.0,181.0
1982,352.0,220.0,238.0,114.0,808.0,203.0,11.0,188.0
1983,334.0,221.0,252.0,82.0,804.0,203.0,11.0,184.0
1984,329.0,227.0,263.0,66.0,804.0,203.0,9.0,190.0
1985,318.0,218.0,264.0,54.0,782.0,203.0,9.0,184.0
1986,310.0,216.0,277.0,33.0,760.0,203.0,9.0,184.0
2377,392.0,309.0,286.0,106.0,800.0,189.0,31.0,216.0
2378,392.0,286.0,275.0,117.0,802.0,191.0,28.0,210.0
2379,392.0,275.0,269.0,123.0,807.0,192.0,26.0,210.0
2380,392.0,269.0,262.0,130.0,821.0,192.0,26.0,208.0
2381,392.0,262.0,261.0,131.0,815.0,192.0,25.0,199.0
2382,392.0,257.0,261.0,131.0,816.0,193.0,24.0,198.0
